NMR gene name,gene_ids,Human gene stable ID,Human gene name,Mouse gene stable ID,Mouse gene name
ENSHGLG00000016251,ENSHGLG00000016251,,,,
TAX1BP1,ENSHGLG00000016256,,,,
ENSHGLG00000016313,ENSHGLG00000016313,,,,
GARS,ENSHGLG00000016342,ENSG00000106105,GARS1,ENSMUSG00000029777,Gars1
HYCC1,ENSHGLG00000016355,ENSG00000122591,HYCC1,ENSMUSG00000028995,Hycc1
PHTF2,ENSHGLG00000016369,ENSG00000006576,PHTF2,ENSMUSG00000039987,Phtf2
ENSHGLG00000016417,ENSHGLG00000016417,,,,
JAZF1,ENSHGLG00000016524,,,,
C7orf31,ENSHGLG00000016657,,,,
TWIST1,ENSHGLG00000016709,,,,
SNX10,ENSHGLG00000016783,,,,
HOXA5,ENSHGLG00000016863,ENSG00000106004,HOXA5,ENSMUSG00000038253,Hoxa5
ZNRF2,ENSHGLG00000016949,,,,
ENSHGLG00000017143,ENSHGLG00000017143,,,,
NFE2L3,ENSHGLG00000017200,,,ENSMUSG00000029832,Nfe2l3
ENSHGLG00000017250,ENSHGLG00000017250,,,,
ENSHGLG00000017281,ENSHGLG00000017281,,,,
ENSHGLG00000017331,ENSHGLG00000017331,,,,
SEMA3C,ENSHGLG00000017349,ENSG00000075223,SEMA3C,ENSMUSG00000028780,Sema3c
DNAJB9,ENSHGLG00000017354,,,,
ENSHGLG00000017377,ENSHGLG00000017377,,,,
ABCB4,ENSHGLG00000017670,,,ENSMUSG00000042476,Abcb4
ENSHGLG00000017765,ENSHGLG00000017765,,,,
HOXA2,ENSHGLG00000017804,ENSG00000105996,HOXA2,ENSMUSG00000014704,Hoxa2
SKAP2,ENSHGLG00000017956,,,,
ENSHGLG00000017964,ENSHGLG00000017964,,,,
NPVF,ENSHGLG00000017985,,,ENSMUSG00000029831,Npvf
MTURN,ENSHGLG00000018038,,,,
HOXA1,ENSHGLG00000018117,ENSG00000105991,HOXA1,ENSMUSG00000029844,Hoxa1
ENSHGLG00000018267,ENSHGLG00000018267,ENSG00000071189,SNX13,ENSMUSG00000020590,Snx13
LSMEM1,ENSHGLG00000018338,,,ENSMUSG00000071342,Lsmem1
CREB5,ENSHGLG00000018417,ENSG00000146592,CREB5,ENSMUSG00000053007,Creb5
CRHR2,ENSHGLG00000018699,ENSG00000106113,CRHR2,ENSMUSG00000003476,Crhr2
DUS4L,ENSHGLG00000018976,,,,
ETV1,ENSHGLG00000018987,ENSG00000006468,ETV1,ENSMUSG00000004151,Etv1
HDAC9,ENSHGLG00000019023,ENSG00000048052,HDAC9,ENSMUSG00000004698,Hdac9
HBP1,ENSHGLG00000019188,ENSG00000105856,HBP1,ENSMUSG00000002996,Hbp1
CROT,ENSHGLG00000019261,ENSG00000005469,CROT,ENSMUSG00000003623,Crot
ENSHGLG00000020447,ENSHGLG00000020447,,,,
ENSHGLG00000020550,ENSHGLG00000020550,,,,
ENSHGLG00000020560,ENSHGLG00000020560,,,,
ENSHGLG00000021168,ENSHGLG00000021168,,,,
PRPS1L1,ENSHGLG00000021217,ENSG00000229937,PRPS1L1,ENSMUSG00000092305,Prps1l1
TRIL,ENSHGLG00000021336,,,,
FERD3L,ENSHGLG00000021353,,,,
KCNK3,ENSHGLG00000005243,ENSG00000171303,KCNK3,ENSMUSG00000049265,Kcnk3
NLRC4,ENSHGLG00000005309,ENSG00000091106,NLRC4,ENSMUSG00000039193,Nlrc4
SLC35F6,ENSHGLG00000005351,ENSG00000213699,SLC35F6,ENSMUSG00000029175,Slc35f6
ENSHGLG00000005479,ENSHGLG00000005479,,,,
MORN2,ENSHGLG00000005484,,,,
ENSHGLG00000005503,ENSHGLG00000005503,,,,
ENSHGLG00000005521,ENSHGLG00000005521,,,,
NDUFAF7,ENSHGLG00000005543,ENSG00000003509,NDUFAF7,ENSMUSG00000024082,Ndufaf7
ZFP36L2,ENSHGLG00000005547,,,,
RBKS,ENSHGLG00000005560,ENSG00000171174,RBKS,ENSMUSG00000029136,Rbks
ENSHGLG00000005572,ENSHGLG00000005572,,,,
THADA,ENSHGLG00000005656,ENSG00000115970,THADA,ENSMUSG00000024251,Thada
BRE,ENSHGLG00000005691,ENSG00000158019,BABAM2,ENSMUSG00000052139,Babam2
SUPT7L,ENSHGLG00000005764,ENSG00000119760,SUPT7L,ENSMUSG00000053134,Supt7l
ENSHGLG00000005824,ENSHGLG00000005824,,,ENSMUSG00000029148,Nrbp1
OSR1,ENSHGLG00000005834,ENSG00000143867,OSR1,ENSMUSG00000048387,Osr1
CLIP4,ENSHGLG00000005891,ENSG00000115295,CLIP4,ENSMUSG00000024059,Clip4
PFN4,ENSHGLG00000005897,,,,
PRKCE,ENSHGLG00000005958,ENSG00000171132,PRKCE,ENSMUSG00000045038,Prkce
TTC32,ENSHGLG00000005960,,,,
CAD,ENSHGLG00000006039,ENSG00000084774,CAD,ENSMUSG00000013629,Cad
ASXL2,ENSHGLG00000006048,ENSG00000143970,ASXL2,ENSMUSG00000037486,Asxl2
ENSHGLG00000006049,ENSHGLG00000006049,,,,
FAM228B,ENSHGLG00000006053,ENSG00000219626,FAM228B,ENSMUSG00000050545,Fam228b
LRPPRC,ENSHGLG00000006123,ENSG00000138095,LRPPRC,ENSMUSG00000024120,Lrpprc
ENSHGLG00000006239,ENSHGLG00000006239,,,,
HADHB,ENSHGLG00000006268,ENSG00000138029,HADHB,ENSMUSG00000059447,Hadhb
TRMT61B,ENSHGLG00000006295,ENSG00000171103,TRMT61B,,
ATRAID,ENSHGLG00000006321,ENSG00000138085,ATRAID,ENSMUSG00000013622,Atraid
SOCS5,ENSHGLG00000006519,ENSG00000171150,SOCS5,ENSMUSG00000037104,Socs5
MCFD2,ENSHGLG00000006612,,,,
ENSHGLG00000006723,ENSHGLG00000006723,,,,
ENSHGLG00000006761,ENSHGLG00000006761,,,,
BIRC6,ENSHGLG00000006871,ENSG00000115760,BIRC6,ENSMUSG00000024073,Birc6
WDR43,ENSHGLG00000006912,ENSG00000163811,WDR43,ENSMUSG00000041057,Wdr43
SLC30A6,ENSHGLG00000007024,ENSG00000152683,SLC30A6,ENSMUSG00000024069,Slc30a6
ENSHGLG00000007049,ENSHGLG00000007049,,,,
ZNF513,ENSHGLG00000007082,ENSG00000163795,ZNF513,ENSMUSG00000043059,Zfp513
ARHGEF33,ENSHGLG00000007085,ENSG00000214694,ARHGEF33,ENSMUSG00000054901,Arhgef33
SULT6B1,ENSHGLG00000007096,ENSG00000138068,SULT6B1,ENSMUSG00000038045,Sult6b1
PREB,ENSHGLG00000007142,ENSG00000138073,PREB,ENSMUSG00000045302,Preb
ENSHGLG00000007155,ENSHGLG00000007155,,,,
ENSHGLG00000007165,ENSHGLG00000007165,,,,
ENSHGLG00000007170,ENSHGLG00000007170,,,,
MPV17,ENSHGLG00000007226,ENSG00000115204,MPV17,ENSMUSG00000107283,Mpv17
ENSHGLG00000007247,ENSHGLG00000007247,,,,
PKDCC,ENSHGLG00000007285,,,ENSMUSG00000024247,Pkdcc
OTOF,ENSHGLG00000007386,ENSG00000115155,OTOF,ENSMUSG00000062372,Otof
DRC1,ENSHGLG00000007441,ENSG00000157856,DRC1,ENSMUSG00000073102,Drc1
EPAS1,ENSHGLG00000007510,ENSG00000116016,EPAS1,ENSMUSG00000024140,Epas1
ENSHGLG00000007652,ENSHGLG00000007652,,,,
OST4,ENSHGLG00000007691,ENSG00000228474,OST4,ENSMUSG00000038803,Ost4
PLEKHH2,ENSHGLG00000007771,ENSG00000152527,PLEKHH2,ENSMUSG00000040852,Plekhh2
CENPA,ENSHGLG00000007874,,,,
PUM2,ENSHGLG00000007892,,,,
ADGRF3,ENSHGLG00000008001,ENSG00000173567,ADGRF3,ENSMUSG00000067642,Adgrf3
TTC7A,ENSHGLG00000008039,ENSG00000068724,TTC7A,ENSMUSG00000036918,Ttc7
PTRHD1,ENSHGLG00000008203,,,,
YIPF4,ENSHGLG00000008283,ENSG00000119820,YIPF4,ENSMUSG00000024072,Yipf4
ENSHGLG00000008460,ENSHGLG00000008460,,,,
SOS1,ENSHGLG00000008560,ENSG00000115904,SOS1,ENSMUSG00000024241,Sos1
PRKD3,ENSHGLG00000008644,ENSG00000115825,PRKD3,ENSMUSG00000024070,Prkd3
ENSHGLG00000008762,ENSHGLG00000008762,,,,
SNX17,ENSHGLG00000008791,ENSG00000115234,SNX17,ENSMUSG00000029146,Snx17
MRPL33,ENSHGLG00000008938,,,,
ENSHGLG00000009004,ENSHGLG00000009004,,,,
ENSHGLG00000009146,ENSHGLG00000009146,,,,
CENPO,ENSHGLG00000009240,,,,
EIF2B4,ENSHGLG00000009335,ENSG00000115211,EIF2B4,ENSMUSG00000029145,Eif2b4
EFR3B,ENSHGLG00000009366,ENSG00000084710,EFR3B,ENSMUSG00000020658,Efr3b
EML4,ENSHGLG00000009421,,,ENSMUSG00000032624,Eml4
ENSHGLG00000009444,ENSHGLG00000009444,,,,
ENSHGLG00000009502,ENSHGLG00000009502,,,,
ALK,ENSHGLG00000009536,ENSG00000171094,ALK,ENSMUSG00000055471,Alk
YPEL5,ENSHGLG00000009584,,,,
TOGARAM2,ENSHGLG00000009603,,,,
KRTCAP3,ENSHGLG00000009665,,,ENSMUSG00000029149,Krtcap3
PPM1B,ENSHGLG00000009834,ENSG00000138032,PPM1B,ENSMUSG00000061130,Ppm1b
ENSHGLG00000009945,ENSHGLG00000009945,,,,
STPG4,ENSHGLG00000010005,ENSG00000239605,STPG4,ENSMUSG00000036557,Stpg4
ENSHGLG00000010007,ENSHGLG00000010007,,,,
EMILIN1,ENSHGLG00000010116,ENSG00000138080,EMILIN1,ENSMUSG00000029163,Emilin1
ENSHGLG00000010143,ENSHGLG00000010143,,,,
ENSHGLG00000010234,ENSHGLG00000010234,,,,
GPN1,ENSHGLG00000010319,,,,
ENSHGLG00000010356,ENSHGLG00000010356,,,,
ITSN2,ENSHGLG00000010370,,,ENSMUSG00000020640,Itsn2
CDKL4,ENSHGLG00000010552,,,,
DYNC2LI1,ENSHGLG00000010574,ENSG00000138036,DYNC2LI1,ENSMUSG00000024253,Dync2li1
ENSHGLG00000010593,ENSHGLG00000010593,,,,
ADCY3,ENSHGLG00000010620,,,ENSMUSG00000020654,Adcy3
LBH,ENSHGLG00000010659,,,,
FOSL2,ENSHGLG00000010716,,,,
ENSHGLG00000010922,ENSHGLG00000010922,,,,
CAPN14,ENSHGLG00000011004,ENSG00000214711,CAPN14,,
WDR35,ENSHGLG00000011065,ENSG00000118965,WDR35,ENSMUSG00000066643,Wdr35
HS1BP3,ENSHGLG00000011399,,,,
SELENOI,ENSHGLG00000011515,ENSG00000138018,SELENOI,ENSMUSG00000075703,Selenoi
ENSHGLG00000011555,ENSHGLG00000011555,,,,
RASGRP3,ENSHGLG00000011801,,,ENSMUSG00000071042,Rasgrp3
KLHL29,ENSHGLG00000011946,ENSG00000119771,KLHL29,ENSMUSG00000020627,Klhl29
UBXN2A,ENSHGLG00000012335,,,,
DNAJC5G,ENSHGLG00000012562,ENSG00000163793,DNAJC5G,ENSMUSG00000053856,Dnajc5g
TCF23,ENSHGLG00000012801,,,,
CEBPZ,ENSHGLG00000012838,ENSG00000115816,CEBPZ,ENSMUSG00000024081,Cebpz
EIF2AK2,ENSHGLG00000013093,ENSG00000055332,EIF2AK2,ENSMUSG00000024079,Eif2ak2
ENSHGLG00000013101,ENSHGLG00000013101,,,,
ENSHGLG00000013103,ENSHGLG00000013103,,,,
LCLAT1,ENSHGLG00000013112,,,,
TRIM54,ENSHGLG00000013162,ENSG00000138100,TRIM54,ENSMUSG00000062077,Trim54
MSH2,ENSHGLG00000013169,ENSG00000095002,MSH2,ENSMUSG00000024151,Msh2
DPY30,ENSHGLG00000013219,ENSG00000162961,DPY30,ENSMUSG00000024067,Dpy30
ENSHGLG00000013296,ENSHGLG00000013296,,,,
TMEM214,ENSHGLG00000013324,ENSG00000119777,TMEM214,ENSMUSG00000038828,Tmem214
MFSD2B,ENSHGLG00000013434,ENSG00000205639,MFSD2B,ENSMUSG00000037336,Mfsd2b
ENSHGLG00000013463,ENSHGLG00000013463,,,,
ENSHGLG00000013530,ENSHGLG00000013530,,,,
FAM98A,ENSHGLG00000013582,,,,
ENSHGLG00000013620,ENSHGLG00000013620,,,,
LTBP1,ENSHGLG00000013628,,,ENSMUSG00000001870,Ltbp1
DNAJC27,ENSHGLG00000013756,,,,
ENSHGLG00000013809,ENSHGLG00000013809,,,,
APOB,ENSHGLG00000013850,ENSG00000084674,APOB,ENSMUSG00000020609,Apob
CYP1B1,ENSHGLG00000013867,,,,
PPP1CB,ENSHGLG00000013887,ENSG00000213639,PPP1CB,ENSMUSG00000014956,Ppp1cb
PLB1,ENSHGLG00000013913,ENSG00000163803,PLB1,ENSMUSG00000029134,Plb1
SRSF7,ENSHGLG00000013954,ENSG00000115875,SRSF7,ENSMUSG00000024097,Srsf7
XDH,ENSHGLG00000013979,ENSG00000158125,XDH,ENSMUSG00000024066,Xdh
HADHA,ENSHGLG00000014003,ENSG00000084754,HADHA,ENSMUSG00000025745,Hadha
CAPN13,ENSHGLG00000014085,ENSG00000162949,CAPN13,ENSMUSG00000043705,Capn13
FSHR,ENSHGLG00000014122,,,,
GTF2A1L,ENSHGLG00000014159,ENSG00000243244,STON1,ENSMUSG00000033855,Ston1
LHCGR,ENSHGLG00000014220,,,,
ENSHGLG00000014228,ENSHGLG00000014228,,,,
MSH6,ENSHGLG00000014307,ENSG00000116062,MSH6,ENSMUSG00000005370,Msh6
GALM,ENSHGLG00000014460,ENSG00000143891,GALM,ENSMUSG00000035473,Galm
FBXO11,ENSHGLG00000014524,ENSG00000138081,FBXO11,ENSMUSG00000005371,Fbxo11
HEATR5B,ENSHGLG00000014542,ENSG00000008869,HEATR5B,ENSMUSG00000039414,Heatr5b
FKBP1B,ENSHGLG00000014590,,,,
STON1,ENSHGLG00000014616,,,,
FOXN2,ENSHGLG00000014669,,,,
SPDYA,ENSHGLG00000014672,ENSG00000163806,SPDYA,ENSMUSG00000052525,Spdya
EHD3,ENSHGLG00000014803,ENSG00000013016,EHD3,ENSMUSG00000024065,Ehd3
ABHD1,ENSHGLG00000014827,,,,
SF3B14,ENSHGLG00000014895,ENSG00000115128,SF3B6,ENSMUSG00000037361,Sf3b6
DNMT3A,ENSHGLG00000014901,ENSG00000119772,DNMT3A,ENSMUSG00000020661,Dnmt3a
ZNF512,ENSHGLG00000014981,,,ENSMUSG00000062761,Zfp512
ENSHGLG00000014990,ENSHGLG00000014990,,,,
LDAH,ENSHGLG00000015006,,,,
FEZ2,ENSHGLG00000015023,,,ENSMUSG00000056121,Fez2
NRXN1,ENSHGLG00000015032,,,ENSMUSG00000024109,Nrxn1
STRN,ENSHGLG00000015041,ENSG00000115808,STRN,ENSMUSG00000024077,Strn
ENSHGLG00000015079,ENSHGLG00000015079,,,,
QPCT,ENSHGLG00000015088,ENSG00000115828,QPCT,ENSMUSG00000024084,Qpct
TTC27,ENSHGLG00000015184,,,ENSMUSG00000024078,Ttc27
DHX57,ENSHGLG00000015212,ENSG00000163214,DHX57,ENSMUSG00000035051,Dhx57
GALNT14,ENSHGLG00000015234,ENSG00000158089,GALNT14,ENSMUSG00000024064,Galnt14
ENSHGLG00000015265,ENSHGLG00000015265,,,,
GEN1,ENSHGLG00000015449,,,,
COX7A2L,ENSHGLG00000015544,,,,
ATL2,ENSHGLG00000015658,ENSG00000119787,ATL2,ENSMUSG00000059811,Atl2
ENSHGLG00000015688,ENSHGLG00000015688,,,,
KCNG3,ENSHGLG00000015723,,,,
SLC8A1,ENSHGLG00000015808,,,ENSMUSG00000054640,Slc8a1
SLC5A6,ENSHGLG00000015827,ENSG00000138074,SLC5A6,ENSMUSG00000006641,Slc5a6
GTF3C2,ENSHGLG00000015828,ENSG00000115207,GTF3C2,ENSMUSG00000106864,Gtf3c2
ATAD2B,ENSHGLG00000015927,ENSG00000119778,ATAD2B,ENSMUSG00000052812,Atad2b
PPP1R21,ENSHGLG00000016153,ENSG00000162869,PPP1R21,ENSMUSG00000034709,Ppp1r21
VSNL1,ENSHGLG00000016211,,,ENSMUSG00000054459,Vsnl1
WDCP,ENSHGLG00000016283,ENSG00000163026,WDCP,ENSMUSG00000051721,Wdcp
ENSHGLG00000016391,ENSHGLG00000016391,,,,
SMC6,ENSHGLG00000016450,,,ENSMUSG00000020608,Smc6
NCOA1,ENSHGLG00000016470,,,ENSMUSG00000020647,Ncoa1
AGBL5,ENSHGLG00000016490,ENSG00000084693,AGBL5,ENSMUSG00000029165,Agbl5
MATN3,ENSHGLG00000016508,,,,
ENSHGLG00000016565,ENSHGLG00000016565,,,ENSMUSG00000038552,Fndc4
IFT172,ENSHGLG00000016609,,,,
ABCG8,ENSHGLG00000016760,ENSG00000143921,ABCG8,ENSMUSG00000024254,Abcg8
KHK,ENSHGLG00000016984,ENSG00000138030,KHK,ENSMUSG00000029162,Khk
CGREF1,ENSHGLG00000017028,ENSG00000138028,CGREF1,ENSMUSG00000029161,Cgref1
ENSHGLG00000017110,ENSHGLG00000017110,,,,
MSGN1,ENSHGLG00000017189,,,ENSMUSG00000047002,Msgn1
SLC3A1,ENSHGLG00000017221,ENSG00000138079,SLC3A1,ENSMUSG00000024131,Slc3a1
PREPL,ENSHGLG00000017302,ENSG00000138078,PREPL,ENSMUSG00000024127,Prepl
SRD5A2,ENSHGLG00000017372,,,,
CIB4,ENSHGLG00000017440,ENSG00000157884,CIB4,ENSMUSG00000053194,Cib4
ENSHGLG00000017463,ENSHGLG00000017463,,,,
ENSHGLG00000017474,ENSHGLG00000017474,,,,
SLC30A3,ENSHGLG00000017544,ENSG00000115194,SLC30A3,ENSMUSG00000029151,Slc30a3
CALM2,ENSHGLG00000017572,ENSG00000143933,CALM2,ENSMUSG00000036438,Calm2
EPCAM,ENSHGLG00000017588,ENSG00000119888,EPCAM,ENSMUSG00000045394,Epcam
ENSHGLG00000017630,ENSHGLG00000017630,,,,
ENSHGLG00000017631,ENSHGLG00000017631,,,,
HAAO,ENSHGLG00000017634,,,,
ENSHGLG00000017651,ENSHGLG00000017651,,,,
CAMKMT,ENSHGLG00000017750,ENSG00000143919,CAMKMT,ENSMUSG00000071037,Camkmt
VIT,ENSHGLG00000017798,ENSG00000205221,VIT,ENSMUSG00000024076,Vit
SIX3,ENSHGLG00000017838,ENSG00000138083,SIX3,ENSMUSG00000038805,Six3
ENSHGLG00000017850,ENSHGLG00000017850,,,,
TMEM178A,ENSHGLG00000017893,,,,
ENSHGLG00000017918,ENSHGLG00000017918,,,,
DPYSL5,ENSHGLG00000017938,,,,
ENSHGLG00000018002,ENSHGLG00000018002,,,,
LAPTM4A,ENSHGLG00000018003,,,ENSMUSG00000020585,Laptm4a
RAB10,ENSHGLG00000018033,,,,
SIX2,ENSHGLG00000018034,ENSG00000170577,SIX2,ENSMUSG00000024134,Six2
ENSHGLG00000018103,ENSHGLG00000018103,,,,
ENSHGLG00000018153,ENSHGLG00000018153,ENSG00000068784,SRBD1,ENSMUSG00000024135,Srbd1
ENSHGLG00000018171,ENSHGLG00000018171,,,,
KCNK12,ENSHGLG00000018191,,,,
GCKR,ENSHGLG00000018205,,,,
GAREM2,ENSHGLG00000018233,ENSG00000157833,GAREM2,ENSMUSG00000044576,Garem2
CRIM1,ENSHGLG00000018264,,,ENSMUSG00000024074,Crim1
ENSHGLG00000018270,ENSHGLG00000018270,,,,
KIF3C,ENSHGLG00000018310,,,,
POMC,ENSHGLG00000018317,,,,
GEMIN6,ENSHGLG00000018364,,,,
PCARE,ENSHGLG00000018422,ENSG00000179270,PCARE,ENSMUSG00000044375,Pcare
ABCG5,ENSHGLG00000018455,ENSG00000138075,ABCG5,ENSMUSG00000040505,Abcg5
MAPRE3,ENSHGLG00000018592,ENSG00000084764,MAPRE3,ENSMUSG00000029166,Mapre3
MAP4K3,ENSHGLG00000018638,ENSG00000011566,MAP4K3,ENSMUSG00000024242,Map4k3
CDC42EP3,ENSHGLG00000018723,,,,
MEMO1,ENSHGLG00000018935,,,,
ENSHGLG00000018960,ENSHGLG00000018960,,,,
ENSHGLG00000018979,ENSHGLG00000018979,,,,
ENSHGLG00000019126,ENSHGLG00000019126,,,,
THUMPD2,ENSHGLG00000019145,,,,
KCNS3,ENSHGLG00000019543,,,ENSMUSG00000043673,Kcns3
RHOB,ENSHGLG00000020657,,,,
UCN,ENSHGLG00000020679,ENSG00000163794,UCN,ENSMUSG00000038676,Ucn
ENSHGLG00000020752,ENSHGLG00000020752,,,,
ENSHGLG00000020980,ENSHGLG00000020980,,,,
RALYL,ENSHGLG00000004866,ENSG00000184672,RALYL,ENSMUSG00000039717,Ralyl
IL7,ENSHGLG00000004993,,,,
CALB1,ENSHGLG00000005028,,,,
PSKH2,ENSHGLG00000005049,ENSG00000147613,PSKH2,,
ENSHGLG00000005181,ENSHGLG00000005181,,,,
ENSHGLG00000005277,ENSHGLG00000005277,,,,
NKAIN3,ENSHGLG00000005384,ENSG00000185942,NKAIN3,ENSMUSG00000055761,Nkain3
ENSHGLG00000005461,ENSHGLG00000005461,,,,
PEX2,ENSHGLG00000005546,,,,
CA2,ENSHGLG00000005638,ENSG00000104267,CA2,ENSMUSG00000027562,Car2
COPS5,ENSHGLG00000005737,ENSG00000121022,COPS5,ENSMUSG00000025917,Cops5
ENSHGLG00000005836,ENSHGLG00000005836,,,,
ENSHGLG00000005959,ENSHGLG00000005959,,,,
ENSHGLG00000006207,ENSHGLG00000006207,,,,
ZC2HC1A,ENSHGLG00000006246,ENSG00000104427,ZC2HC1A,ENSMUSG00000043542,Zc2hc1a
SLCO5A1,ENSHGLG00000007007,ENSG00000137571,SLCO5A1,ENSMUSG00000025938,Slco5a1
CA3,ENSHGLG00000007056,,,,
CPA6,ENSHGLG00000007434,,,ENSMUSG00000042501,Cpa6
DECR1,ENSHGLG00000007466,,,,
LRRCC1,ENSHGLG00000007603,ENSG00000133739,LRRCC1,ENSMUSG00000027550,Lrrcc1
HNF4G,ENSHGLG00000007710,,,ENSMUSG00000017688,Hnf4g
ZFHX4,ENSHGLG00000007968,,,ENSMUSG00000025255,Zfhx4
CA1,ENSHGLG00000008038,ENSG00000133742,CA1,ENSMUSG00000027556,Car1
TRAM1,ENSHGLG00000008235,ENSG00000067167,TRAM1,ENSMUSG00000025935,Tram1
PPP1R42,ENSHGLG00000008475,ENSG00000178125,PPP1R42,ENSMUSG00000025916,Ppp1r42
PKIA,ENSHGLG00000008604,,,,
SNX16,ENSHGLG00000008885,ENSG00000104497,SNX16,ENSMUSG00000027534,Snx16
ENSHGLG00000009229,ENSHGLG00000009229,,,,
ENSHGLG00000009308,ENSHGLG00000009308,,,,
ENSHGLG00000009315,ENSHGLG00000009315,,,,
ENSHGLG00000009371,ENSHGLG00000009371,,,,
ENSHGLG00000009449,ENSHGLG00000009449,,,,
NBN,ENSHGLG00000009487,,,,
RIPK2,ENSHGLG00000009528,,,,
ENSHGLG00000009573,ENSHGLG00000009573,,,,
CLVS1,ENSHGLG00000009597,ENSG00000177182,CLVS1,ENSMUSG00000041216,Clvs1
PREX2,ENSHGLG00000009795,,,ENSMUSG00000048960,Prex2
ASPH,ENSHGLG00000009811,ENSG00000198363,ASPH,ENSMUSG00000028207,Asph
ENSHGLG00000009819,ENSHGLG00000009819,,,,
YTHDF3,ENSHGLG00000009954,ENSG00000185728,YTHDF3,ENSMUSG00000047213,Ythdf3
MRPS28,ENSHGLG00000009986,,,,
CA13,ENSHGLG00000010003,ENSG00000185015,CA13,ENSMUSG00000027555,Car13
TCF24,ENSHGLG00000010465,,,,
MMP16,ENSHGLG00000010724,,,ENSMUSG00000028226,Mmp16
ENSHGLG00000010754,ENSHGLG00000010754,,,,
ENSHGLG00000010817,ENSHGLG00000010817,,,,
SLC26A7,ENSHGLG00000011325,ENSG00000147606,SLC26A7,ENSMUSG00000040569,Slc26a7
ARFGEF1,ENSHGLG00000011784,ENSG00000066777,ARFGEF1,ENSMUSG00000067851,Arfgef1
SBSPON,ENSHGLG00000011929,,,,
ENSHGLG00000012342,ENSHGLG00000012342,,,,
ENSHGLG00000012432,ENSHGLG00000012432,,,,
ENSHGLG00000012645,ENSHGLG00000012645,,,,
MCMDC2,ENSHGLG00000012730,ENSG00000178460,MCMDC2,ENSMUSG00000046101,Mcmdc2
TTPA,ENSHGLG00000012866,,,,
VCPIP1,ENSHGLG00000012964,ENSG00000175073,VCPIP1,ENSMUSG00000045210,Vcpip1
SLC7A13,ENSHGLG00000013058,ENSG00000164893,SLC7A13,ENSMUSG00000041052,Slc7a13
TERF1,ENSHGLG00000013062,ENSG00000147601,TERF1,ENSMUSG00000025925,Terf1
IMPA1,ENSHGLG00000013141,,,,
TMEM64,ENSHGLG00000013338,,,ENSMUSG00000043252,Tmem64
ENSHGLG00000013435,ENSHGLG00000013435,,,,
RDH10,ENSHGLG00000013673,ENSG00000121039,RDH10,ENSMUSG00000025921,Rdh10
CA8,ENSHGLG00000013696,,,,
ENSHGLG00000013698,ENSHGLG00000013698,,,,
CYP7A1,ENSHGLG00000013778,ENSG00000167910,CYP7A1,ENSMUSG00000028240,Cyp7a1
ENSHGLG00000013946,ENSHGLG00000013946,,,,
C8orf88,ENSHGLG00000013974,ENSG00000253250,C8orf88,ENSMUSG00000086587,Gm11837
ATP6V0D2,ENSHGLG00000014042,ENSG00000147614,ATP6V0D2,ENSMUSG00000028238,Atp6v0d2
STAU2,ENSHGLG00000014888,ENSG00000040341,STAU2,ENSMUSG00000025920,Stau2
GGH,ENSHGLG00000014967,,,,
UBXN2B,ENSHGLG00000015127,ENSG00000215114,UBXN2B,ENSMUSG00000028243,Ubxn2b
CHMP4C,ENSHGLG00000015356,ENSG00000164695,CHMP4C,ENSMUSG00000027536,Chmp4c
ENSHGLG00000015385,ENSHGLG00000015385,,,,
ENSHGLG00000015426,ENSHGLG00000015426,,,,
ZFAND1,ENSHGLG00000015438,,,,
ZNF704,ENSHGLG00000015584,ENSG00000164684,ZNF704,ENSMUSG00000040209,Zfp704
ENSHGLG00000015615,ENSHGLG00000015615,,,,
FABP12,ENSHGLG00000015629,ENSG00000197416,FABP12,ENSMUSG00000027530,Fabp12
ZBTB10,ENSHGLG00000015634,ENSG00000205189,ZBTB10,ENSMUSG00000069114,Zbtb10
MYBL1,ENSHGLG00000015635,ENSG00000185697,MYBL1,ENSMUSG00000025912,Mybl1
CRISPLD1,ENSHGLG00000015637,,,ENSMUSG00000025776,Crispld1
SULF1,ENSHGLG00000015701,ENSG00000137573,SULF1,ENSMUSG00000016918,Sulf1
SGK3,ENSHGLG00000015703,ENSG00000104205,SGK3,ENSMUSG00000025915,Sgk3
ENSHGLG00000015708,ENSHGLG00000015708,ENSG00000155099,PIP4P2,ENSMUSG00000028221,Pip4p2
CSPP1,ENSHGLG00000015719,ENSG00000104218,CSPP1,ENSMUSG00000056763,Cspp1
ENSHGLG00000015786,ENSHGLG00000015786,,,,
ENSHGLG00000015792,ENSHGLG00000015792,,,,
PI15,ENSHGLG00000015916,ENSG00000137558,PI15,ENSMUSG00000067780,Pi15
GDAP1,ENSHGLG00000015931,,,,
ADHFE1,ENSHGLG00000015974,,,,
PDE7A,ENSHGLG00000015990,ENSG00000205268,PDE7A,ENSMUSG00000069094,Pde7a
CPNE3,ENSHGLG00000016017,,,,
JPH1,ENSHGLG00000016053,ENSG00000104369,JPH1,ENSMUSG00000042686,Jph1
SDCBP,ENSHGLG00000016054,ENSG00000137575,SDCBP,ENSMUSG00000028249,Sdcbp
PAG1,ENSHGLG00000016111,ENSG00000076641,PAG1,ENSMUSG00000027508,Pag1
ENSHGLG00000016249,ENSHGLG00000016249,ENSG00000035681,NSMAF,ENSMUSG00000028245,Nsmaf
